Fecha,CodigoFecha,SBS
02Ene97,1,2.614
03Ene97,2,2.62
06Ene97,3,2.628
07Ene97,4,2.635
08Ene97,5,2.636
09Ene97,6,2.631
10Ene97,7,2.626
13Ene97,8,2.626
14Ene97,9,2.627
15Ene97,10,2.625
16Ene97,11,2.622
17Ene97,12,2.621
20Ene97,13,2.627
21Ene97,14,2.623
22Ene97,15,2.626
23Ene97,16,2.631
24Ene97,17,2.632
27Ene97,18,2.639
28Ene97,19,2.64
29Ene97,20,2.639
30Ene97,21,2.643
31Ene97,22,2.646
03Feb97,23,2.655
04Feb97,24,2.651
05Feb97,25,2.651
06Feb97,26,2.644
07Feb97,27,2.641
10Feb97,28,2.645
11Feb97,29,2.643
12Feb97,30,2.642
13Feb97,31,2.641
14Feb97,32,2.636
17Feb97,33,2.634
18Feb97,34,2.632
19Feb97,35,2.631
20Feb97,36,2.63
21Feb97,37,2.634
24Feb97,38,2.641
25Feb97,39,2.646
26Feb97,40,2.649
27Feb97,41,2.652
28Feb97,42,2.651
03Mar97,43,2.648
04Mar97,44,2.639
05Mar97,45,2.635
06Mar97,46,2.629
07Mar97,47,2.628
10Mar97,48,2.628
11Mar97,49,2.628
12Mar97,50,2.628
13Mar97,51,2.634
14Mar97,52,2.635
17Mar97,53,2.634
18Mar97,54,2.633
19Mar97,55,2.636
20Mar97,56,2.644
21Mar97,57,2.644
24Mar97,58,2.642
25Mar97,59,2.647
26Mar97,60,2.644
27Mar97,61,2.646
28Mar97,62,2.648
31Mar97,63,2.65
01Abr97,64,2.66
02Abr97,65,2.657
03Abr97,66,2.659
04Abr97,67,2.666
07Abr97,68,2.671
08Abr97,69,2.67
09Abr97,70,2.669
10Abr97,71,2.667
11Abr97,72,2.662
14Abr97,73,2.666
15Abr97,74,2.662
16Abr97,75,2.663
17Abr97,76,2.664
18Abr97,77,2.665
21Abr97,78,2.669
22Abr97,79,2.667
23Abr97,80,2.665
24Abr97,81,2.665
25Abr97,82,2.664
28Abr97,83,2.668
29Abr97,84,2.668
30Abr97,85,2.668
01May97,86,2.6
02May97,87,2.667
05May97,88,2.671
06May97,89,2.669
07May97,90,2.665
08May97,91,2.666
09May97,92,2.669
12May97,93,2.675
13May97,94,2.671
14May97,95,2.669
15May97,96,2.664
16May97,97,2.665
19May97,98,2.664
20May97,99,2.661
21May97,100,2.666
22May97,101,2.668
23May97,102,2.667
26May97,103,2.667
27May97,104,2.666
28May97,105,2.667
29May97,106,2.667
30May97,107,2.669
02Jun97,108,2.672
03Jun97,109,2.663
04Jun97,110,2.662
05Jun97,111,2.665
06Jun97,112,2.663
09Jun97,113,2.662
10Jun97,114,2.66
11Jun97,115,2.661
12Jun97,116,2.661
13Jun97,117,2.662
16Jun97,118,2.661
17Jun97,119,2.658
18Jun97,120,2.656
19Jun97,121,2.652
20Jun97,122,2.652
23Jun97,123,2.657
24Jun97,124,2.657
25Jun97,125,2.654
26Jun97,126,2.65
27Jun97,127,2.651
30Jun97,128,2.656
01Jul97,129,2.655
02Jul97,130,2.653
03Jul97,131,2.65
04Jul97,132,2.652
07Jul97,133,2.653
08Jul97,134,2.654
09Jul97,135,2.657
10Jul97,136,2.656
11Jul97,137,2.652
14Jul97,138,2.652
15Jul97,139,2.651
16Jul97,140,2.653
17Jul97,141,2.659
18Jul97,142,2.659
21Jul97,143,2.653
22Jul97,144,2.653
23Jul97,145,2.652
24Jul97,146,2.655
25Jul97,147,2.655
28Jul97,148,2.6
29Jul97,149,2.6
30Jul97,150,2.663
31Jul97,151,2.658
01Ago97,152,2.656
04Ago97,153,2.655
05Ago97,154,2.656
06Ago97,155,2.659
07Ago97,156,2.666
08Ago97,157,2.661
11Ago97,158,2.659
12Ago97,159,2.657
13Ago97,160,2.655
14Ago97,161,2.652
15Ago97,162,2.649
18Ago97,163,2.651
19Ago97,164,2.654
20Ago97,165,2.655
21Ago97,166,2.655
